task,step,test_loss,train_std_nearby,median_abs_delta_test,median_over_std,max_abs_delta_test,q25_delta_test,q75_delta_test
mrpc,400,0.3277,0.1267,0.000451,0.0036,0.004394,-0.000573,0.000392
mrpc,800,0.317404,0.0777,0.000583,0.0075,0.011058,-0.000975,0.000281
mrpc,1200,0.321984,0.0513,0.001098,0.0214,0.021114,-0.002665,0.000106
mrpc,1600,0.372977,0.0347,0.002664,0.0768,0.031773,-0.004829,-5.6e-05
mrpc,2000,0.449941,0.0212,0.002546,0.1201,0.046443,-0.004826,0.000183
rte,400,0.629778,0.1605,0.00126,0.0079,0.028462,-0.003038,-0.00013
rte,800,0.762099,0.1583,0.002876,0.0182,0.061912,-0.005312,-0.000885
rte,1200,0.782703,0.088,0.003076,0.035,0.09469,-0.006959,0.00054
rte,1600,1.063049,0.0424,0.004686,0.1105,0.109418,-0.010476,-0.0003
rte,2000,1.109102,0.0165,0.005372,0.3256,0.117929,-0.011094,-9.9e-05
sst2,1000,0.19882,0.0151,0.000137,0.0091,0.001221,-2.3e-05,0.000211
sst2,2000,0.200721,0.0122,0.000222,0.0182,0.00598,-0.000547,6.1e-05
sst2,3000,0.196635,0.0126,0.000316,0.0251,0.006921,-0.000799,4.5e-05
sst2,4000,0.198747,0.0091,0.000377,0.0414,0.008293,-0.0007,0.000145
sst2,5000,0.202404,0.0081,0.00036,0.0444,0.008863,-0.000888,6e-05
