task,step,signed_auc_drop_if_S3neg,symmetric_auc,harmful_rate,n_harmful,n_total,baseline_test_loss,baseline_test_acc
mrpc,400,0.2009,0.7991,0.5625,108,192,0.3277,0.8652
mrpc,800,0.1271,0.8729,0.5833,112,192,0.3174,0.8725
mrpc,1200,0.1556,0.8444,0.7083,136,192,0.322,0.8824
mrpc,1600,0.1677,0.8323,0.7552,145,192,0.373,0.8578
mrpc,2000,0.2244,0.7756,0.724,139,192,0.4499,0.875
rte,400,0.1562,0.8438,0.7969,153,192,0.6298,0.7076
rte,800,0.1603,0.8397,0.8646,166,192,0.7621,0.7365
rte,1200,0.212,0.788,0.6979,134,192,0.7827,0.7581
rte,1600,0.2086,0.7914,0.7812,150,192,1.063,0.7509
rte,2000,0.2411,0.7589,0.7552,145,192,1.1091,0.7581
sst2,1000,0.2503,0.7497,0.3125,60,192,0.1988,0.9278
sst2,2000,0.7715,0.7715,0.651,125,192,0.2007,0.9312
sst2,3000,0.59,0.59,0.7188,138,192,0.1966,0.9312
sst2,4000,0.6686,0.6686,0.6458,124,192,0.1987,0.9323
sst2,5000,0.5866,0.5866,0.6979,134,192,0.2024,0.9312
