model,dataset,method,seed,gsm8k_strict,gsm8k_flex,hellaswag_acc_norm,arc_challenge_acc_norm,mmlu_acc,mmlu_pro_acc,bbh_acc,math_acc,humaneval_pass1,ifeval_strict,truthfulqa_mc1,best_step,best_val_loss,final_val_loss,completed_steps,aborted,lm_eval_json
acereason-7b,metamathqa-10k,dora,42,,,,,,,,,,,,500,0.1656,0.1656,500,False,
acereason-7b,metamathqa-10k,lora_vanilla,42,0.7407,0.7475,0.5908,0.5085,,,,,,,,500,0.1677,0.4778,3000,False,results/stage3_v2/acereason-7b/metamathqa-10k/lora_vanilla/seed42/lm_eval_v2/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__acereason-7b__metamathqa-10k__lora_vanilla__seed42__adapter/results_2026-05-18T21-56-20.594999.json
acereason-7b,metamathqa-10k,lora_vanilla,42_smoke,,,,,,,,,,,,50,0.2551,0.2551,50,False,
acereason-7b,metamathqa-10k,relora_baseline,42,,,,,,,,,,,,500,0.1678,0.3012,3000,True,
acereason-7b,metamathqa-10k,relora_diag_gated_S3pos,42,0.5383,0.6308,0.6212,0.5247,,,,,,,,500,0.1677,0.1765,3000,False,results/stage3_v2/acereason-7b/metamathqa-10k/relora_diag_gated_S3pos/seed42/lm_eval_v2/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__acereason-7b__metamathqa-10k__relora_diag_gated_S3pos__seed42__adapter/results_2026-05-19T10-16-39.299493.json
acereason-7b,metamathqa-10k,relora_random_drop,42,,,,,,,,,,,,500,0.1676,0.2615,3000,True,
acereason-7b,tulu3-sft,dora,42,,,,,,,,,,,,,,,,False,
acereason-7b,tulu3-sft,lora_vanilla,42,,,,,,,,,,,,500,1.8344,2.1511,2000,False,
acereason-7b,tulu3-sft,relora_baseline,42,,,,,,,,,,,,750,1.8361,1.9851,2000,False,
acereason-7b,tulu3-sft,relora_diag_gated_S3pos,42,,,,,,,,,,,,1250,1.8279,1.8476,1500,False,
acereason-7b,tulu3-sft,relora_random_drop,42,,,,,,,,,,,,500,1.8348,1.9147,500,False,
gemma3-12b,metamathqa-10k,lora_vanilla,42_smoke,,,,,,,,,,,,50,0.2362,0.2362,50,False,
llama3-8b,metamathqa-10k,lora_vanilla,42,0.6679,0.6710,0.8027,0.5239,,,,,,,,500,0.2209,0.5608,3000,False,results/stage3_v2/llama3-8b/metamathqa-10k/lora_vanilla/seed42/lm_eval_v2/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__llama3-8b__metamathqa-10k__lora_vanilla__seed42__adapter/results_2026-05-18T21-47-42.341042.json
llama3-8b,metamathqa-10k,lora_vanilla,42_smoke,,,,,,,,,,,,50,0.2824,0.2824,50,False,
mistral-7b,metamathqa-10k,adalora,42,0.5421,0.5451,0.8185,0.5512,,,,,,,,750,0.2037,0.4520,3000,False,results/stage3_v2/mistral-7b/metamathqa-10k/adalora/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__mistral-7b__metamathqa-10k__adalora__seed42__checkpoints__best/results_2026-05-16T08-04-04.249896.json
mistral-7b,metamathqa-10k,dora,42,0.5701,0.5777,0.8073,0.5597,,,,,,,,600,0.1987,0.2294,800,False,results/stage3_v2/mistral-7b/metamathqa-10k/dora/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__mistral-7b__metamathqa-10k__dora__seed42__checkpoints__best/results_2026-05-17T21-25-19.297670.json
mistral-7b,metamathqa-10k,lora_vanilla,42,0.5148,0.5201,0.8098,0.5563,,,,,,,,500,0.2116,0.4829,3000,False,results/stage3_v2/mistral-7b/metamathqa-10k/lora_vanilla/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__mistral-7b__metamathqa-10k__lora_vanilla__seed42__checkpoints__best/results_2026-05-15T16-33-43.651434.json
mistral-7b,metamathqa-10k,relora_baseline,42,0.5064,0.5087,0.8083,0.5614,,,,,,,,500,0.2118,0.3280,3000,True,results/stage3_v2/mistral-7b/metamathqa-10k/relora_baseline/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__mistral-7b__metamathqa-10k__relora_baseline__seed42__checkpoints__best/results_2026-05-15T16-31-29.579778.json
mistral-7b,metamathqa-10k,relora_diag_gated_S3neg,42,0.5148,0.5224,0.8116,0.5614,,,,,,,,500,0.2124,0.3347,3000,True,results/stage3_v2/mistral-7b/metamathqa-10k/relora_diag_gated_S3neg/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__mistral-7b__metamathqa-10k__relora_diag_gated_S3neg__seed42__checkpoints__best/results_2026-05-16T07-56-09.034634.json
mistral-7b,metamathqa-10k,relora_diag_gated_S3pos,42,0.5140,0.5193,0.8098,0.5691,,,,,,,,500,0.2114,0.1953,3000,False,results/stage3_v2/mistral-7b/metamathqa-10k/relora_diag_gated_S3pos/seed42/lm_eval_v2/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__mistral-7b__metamathqa-10k__relora_diag_gated_S3pos__seed42__checkpoints__best/results_2026-05-17T09-46-27.268322.json
