model,dataset,method,seed,ckpt_step,gsm8k_strict,gsm8k_flex,hellaswag_acc_norm,arc_challenge_acc_norm
mistral-7b,metamathqa-10k,relora_diag_gated_S3pos,42,1500,0.3753,0.3768,0.8267,0.5913
qwen25-7b,metamathqa-10k,lora_vanilla,42,1500,0.7900,0.7900,0.7920,0.6092
qwen25-7b,metamathqa-10k,relora_baseline,42,1500,0.8256,0.8362,0.7970,0.6357
qwen25-7b,metamathqa-10k,relora_diag_gated_S3pos,42,1500,0.7945,0.8127,0.7964,0.6323
qwen3-8b,metamathqa-10k,adalora,42,3000,0.7961,0.7983,0.7596,0.6681
qwen3-8b,metamathqa-10k,lora_vanilla,42,1500,0.8188,0.8241,0.7617,0.6664
qwen3-8b,metamathqa-10k,lora_vanilla,42,3000,0.8059,0.8105,0.7615,0.6647
qwen3-8b,metamathqa-10k,relora_baseline,42,1500,0.8696,0.8757,0.7579,0.6698
qwen3-8b,metamathqa-10k,relora_baseline,42,2000,0.8605,0.8666,0.7612,0.6689
qwen3-8b,metamathqa-10k,relora_diag_gated_S3neg,42,1500,0.8620,0.8658,0.7637,0.6664
qwen3-8b,metamathqa-10k,relora_diag_gated_S3neg,42,2000,0.8673,0.8711,0.7626,0.6783
qwen3-8b,metamathqa-10k,relora_diag_gated_S3pos,42,1500,0.8567,0.8597,0.7614,0.6689
qwen3-8b,metamathqa-10k,relora_diag_gated_S3pos,42,3000,0.8461,0.8484,0.7632,0.6596
qwen3-8b,metamathqa-10k,relora_random_drop,42,1500,0.8613,0.8628,0.7618,0.6715
qwen3-8b,metamathqa-10k,relora_random_drop,42,3000,0.8673,0.8719,0.7633,0.6732
qwen3-8b,metamathqa-10k,relora_train_gated,42,1500,0.8666,0.8719,0.7611,0.6706
qwen3-8b,metamathqa-10k,relora_train_gated,42,2000,0.8696,0.8741,0.7628,0.6766
qwen3-8b,tulu3-sft,adalora,42,1500,0.7384,0.7453,0.7751,0.6664
qwen3-8b,tulu3-sft,adalora,42,3000,0.6952,0.7127,0.7775,0.6647
qwen3-8b,tulu3-sft,lora_vanilla,42,1500,0.7650,0.7695,0.7784,0.6536
qwen3-8b,tulu3-sft,lora_vanilla,42,3000,0.7293,0.7362,0.7750,0.6229
qwen3-8b,tulu3-sft,relora_baseline,42,1500,0.8749,0.8810,0.7618,0.6681
qwen3-8b,tulu3-sft,relora_baseline,42,3000,0.8757,0.8810,0.7625,0.6681
qwen3-8b,tulu3-sft,relora_diag_gated_S3neg,42,1500,0.8726,0.8764,0.7731,0.6800
qwen3-8b,tulu3-sft,relora_diag_gated_S3neg,42,3000,0.8832,0.8878,0.7635,0.6706
qwen3-8b,tulu3-sft,relora_diag_gated_S3pos,42,1500,0.8787,0.8848,0.7687,0.6749
qwen3-8b,tulu3-sft,relora_diag_gated_S3pos,42,3000,0.8696,0.8802,0.7669,0.6630
qwen3-8b,tulu3-sft,relora_random_drop,42,1500,0.8628,0.8658,0.7674,0.6655
qwen3-8b,tulu3-sft,relora_random_drop,42,3000,0.8658,0.8704,0.7642,0.6741
qwen3-8b,tulu3-sft,relora_train_gated,42,1500,0.8726,0.8764,0.7665,0.6732
qwen3-8b,tulu3-sft,relora_train_gated,42,3000,0.8779,0.8832,0.7619,0.6681
